Mission;Date de départ;;Ville de départ;Pays de départ;Ville de destination;Pays de destination;;;Moyens de transport;;;;;Nb de personnes dans la voiture;Aller / Retour;Motif du déplacement
37;23/09/2022;;IGNY;France;BERGISCH GLADBACH;Allemagne;;;Train;;;;;1;OUI;Rech. en équipe, collaboration
38;26/09/2022;;CHAVILLE;France;BERLIN;Allemagne;;;Avion;;;;;1;OUI;Colloques et congrés
39;07/11/2022;;BRUNOY;France;ROSCOFF;France;;;Train;;;;;;OUI;Colloques et congrés
40;18/10/2022;;PARIS;France;Santa Barbara;Etats-Unis;;;Avion;;;;;;OUI;Colloques et congrés
41;19/11/2022;;Santa Barbara;Etats-Unis;Indianapolis;Etats-Unis;;;Avion;;;;;;OUI;Colloques et congrés
42;23/11/2022;;Indianapolis;Etats-Unis;Chicago;Etats-Unis;;;Avion;;;;;;OUI;Colloques et congrés
43;24/11/2022;;LYON;France;PARIS;France;;;Train;;;;;;OUI;Colloques et congrés
44;05/12/2022;;VANVES;France;STRASBOURG;France;;;Train;;;;;;OUI;Colloques et congrés
45;05/12/2022;;PARIS;France;STRASBOURG;France;;;Train;;;;;;OUI;Colloques et congrés
46;05/12/2022;;FONTENAY-AUX-ROSES;France;STRASBOURG;France;;;Train;;;;;;OUI;Colloques et congrés
47;05/12/2022;;MONTROUGE;France;STRASBOURG;France;;;Train;;;;;;OUI;Colloques et congrés
48;05/12/2022;;PARIS;France;STRASBOURG;France;;;Train;;;;;;OUI;Colloques et congrés
49;05/12/2022;;PARIS;France;STRASBOURG;France;;;Train;;;;;;OUI;Colloques et congrés
50;05/12/2022;;PARIS;France;STRASBOURG;France;;;Train;;;;;;OUI;Colloques et congrés
51;03/12/2022;;PARIS;France;STRASBOURG;France;;;Train;;;;;;OUI;Colloques et congrés
52;05/12/2022;;STRASBOURG;France;STRASBOURG;France;;;Train;;;;;;OUI;Colloques et congrés
53;15/12/2022;;PARIS;France;ISTANBUL;Turquie;;;Avion;;;;;;OUI;Rech. en équipe, collaboration
54;22/12/2022;;PARIS;France;SOFIA;Bulgarie;;;Avion;;;;;;OUI;Rech. en équipe, collaboration
