Mission;Date de départ;;Ville de départ;Pays de départ;Ville de destination;Pays de destination;;;Moyens de transport;;;;;Nb de personnes dans la voiture;Aller / Retour;Motif du déplacement
59;11/10/2023;;Paris;France;Berlin;Allemagne;;;Avion;;;;;1;NON;Colloques, congrès et séminaires
60;11/10/2023;;Paris;France;Berlin;Allemagne;;;Avion;;;;;1;NON;Colloques, congrès et séminaires
61;19/10/2023;;Paris;France;Lyon;France;;;Train;;;;;;NON;Recherche en équipe, collaboration
62;19/10/2023;;Paris;France;Lyon;France;;;Train;;;;;;NON;Recherche en équipe, collaboration
63;19/10/2023;;Paris;France;Lyon;France;;;Train;;;;;;NON;Recherche en équipe, collaboration
64;22/10/2023;;Paris;France;Turku;Finlande;;;Avion;;;;;;NON;Colloques, congrès et séminaires
65;22/10/2023;;Paris;France;Turku;Finlande;;;Avion;;;;;;NON;Colloques, congrès et séminaires
66;22/10/2023;;Paris;France;Turku;Finlande;;;Avion;;;;;;NON;Colloques, congrès et séminaires
67;22/10/2023;;Paris;France;Turku;Finlande;;;Avion;;;;;;NON;Colloques, congrès et séminaires
68;22/10/2023;;Paris;France;Turku;Finlande;;;Avion;;;;;;NON;Colloques, congrès et séminaires
69;25/10/2023;;Paris;France;Bretigny-sur-Orge;France;;;RER;;;;;1;OUI;Colloques, congrès et séminaires
70;25/10/2023;;Bretigny-sur-Orge;France;Bretigny-sur-Orge;France;;;RER;;;;;1;OUI;Colloques, congrès et séminaires
71;07/11/2023;;Rennes;France;Paris;France;;;Train;;;;;;OUI;Colloques, congrès et séminaires
72;09/11/2023;;Arcueil;;Hyeres-Les-Palmiers;France;;;Train;;;;;;NON;Colloques, congrès et séminaires
73;09/11/2023;;Arcueil;;Hyeres-Les-Palmiers;France;;;Train;;;;;;NON;Colloques, congrès et séminaires
74;09/11/2023;;Arcueil;;Hyeres-Les-Palmiers;France;;;Train;;;;;;NON;Colloques, congrès et séminaires
75;09/11/2023;;Arcueil;;Hyeres-Les-Palmiers;France;;;Train;;;;;;NON;Colloques, congrès et séminaires
76;09/11/2023;;Arcueil;;Hyeres-Les-Palmiers;France;;;Train;;;;;;NON;Colloques, congrès et séminaires
77;09/11/2023;;Arcueil;;Hyeres-Les-Palmiers;France;;;Train;;;;;;NON;Colloques, congrès et séminaires
78;12/11/2023;;Athis-Mons;;Ferrol;Espagne;;;Avion;;;;;;NON;Recherche en équipe, collaboration
79;12/11/2023;;Athis-Mons;;Ferrol;Espagne;;;Avion;;;;;;NON;Recherche en équipe, collaboration
80;12/11/2023;;Athis-Mons;;Ferrol;Espagne;;;Avion;;;;;;NON;Recherche en équipe, collaboration
81;13/11/2023;;LE HAVRE;France;Paris;France;;;Train;;;;;;NON;
82;13/11/2023;;LE HAVRE;France;Paris;France;;;Train;;;;;;NON;
83;13/11/2023;;Pompey;France;Paris;France;;;Train;;;;;;NON;
84;13/11/2023;;Pompey;France;Paris;France;;;Train;;;;;;NON;
85;13/11/2023;;Lyon;France;Paris;France;;;Train;;;;;;NON;
86;13/11/2023;;Lyon;France;Paris;France;;;Train;;;;;;NON;
87;14/11/2023;;Noisy-le-Grand;France;Rennes;France;;;Train;;;;;;NON;
88;14/11/2023;;Noisy-le-Grand;France;Rennes;France;;;Train;;;;;;NON;
89;07/11/2023;;PARIS;France;New York;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
90;07/11/2023;;PARIS;France;New York;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
91;09/11/2023;;New York;Etats-Unis;Worcester;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
92;09/11/2023;;New York;Etats-Unis;Worcester;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
93;17/11/2023;;Worcester;Etats-Unis;Washington;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
94;17/11/2023;;Worcester;Etats-Unis;Washington;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
95;07/11/2023;;Ivry-sur-Seine;France;New York;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
96;07/11/2023;;Ivry-sur-Seine;France;New York;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
97;07/11/2023;;Ivry-sur-Seine;France;New York;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
98;09/11/2023;;New York;Etats-Unis;Worcester;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
99;09/11/2023;;New York;Etats-Unis;Worcester;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
100;09/11/2023;;New York;Etats-Unis;Worcester;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
101;17/11/2023;;Worcester;Etats-Unis;Washington;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
102;17/11/2023;;Worcester;Etats-Unis;Washington;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
103;17/11/2023;;Worcester;Etats-Unis;Washington;Etats-Unis;;;Avion;;;;;;NON;Colloques, congrès et séminaires
104;23/11/2023;;PARIS 13;France;Orleans;France;;;Train;;;;;;NON;Recherche en équipe, collaboration
105;23/11/2023;;PARIS 13;France;Orleans;France;;;Train;;;;;;NON;Recherche en équipe, collaboration
106;23/11/2023;;Paris;France;Orleans;France;;;Train;;;;;;NON;Recherche en équipe, collaboration
107;23/11/2023;;Paris;France;Orleans;France;;;Train;;;;;;NON;Recherche en équipe, collaboration
108;04/12/2023;;Paris;France;Nice;France;;;Train;;;;;;NON;Colloques, congrès et séminaires
109;04/12/2023;;Paris;France;Nice;France;;;Train;;;;;;NON;Colloques, congrès et séminaires
110;04/12/2023;;Paris;France;Nice;France;;;Train;;;;;;NON;Colloques, congrès et séminaires
111;12/12/2023;;Noisy-le-Grand;France;Rennes;France;;;Train;;;;;;NON;Colloques, congrès et séminaires
112;12/12/2023;;Noisy-le-Grand;France;Rennes;France;;;Train;;;;;;NON;Colloques, congrès et séminaires
113;10/12/2023;;Paris;France;Nuremberg;Allemagne;;;Avion;;;;;1;NON;Acquisition de nouvelles compétences techniques
114;10/12/2023;;Paris;France;Nuremberg;Allemagne;;;Avion;;;;;1;NON;Acquisition de nouvelles compétences techniques
115;10/12/2023;;Nuremberg;Allemagne;Erlangen;Allemagne;;;Avion;;;;;1;NON;Acquisition de nouvelles compétences techniques
116;10/12/2023;;Nuremberg;Allemagne;Erlangen;Allemagne;;;Avion;;;;;1;NON;Acquisition de nouvelles compétences techniques
117;12/12/2023;;Erlangen;Allemagne;Nuremberg;Allemagne;;;Avion;;;;;1;NON;Acquisition de nouvelles compétences techniques
118;12/12/2023;;Erlangen;Allemagne;Nuremberg;Allemagne;;;Avion;;;;;1;NON;Acquisition de nouvelles compétences techniques
119;17/12/2023;;PARIS;France;Leyde;Pays-Bas;;;Train;;;;;;NON;Colloques, congrès et séminaires
120;17/12/2023;;PARIS;France;Leyde;Pays-Bas;;;Train;;;;;;NON;Colloques, congrès et séminaires
121;17/12/2023;;PARIS;France;Leyde;Pays-Bas;;;Train;;;;;;NON;Colloques, congrès et séminaires
122;17/12/2023;;PARIS;France;Leyde;Pays-Bas;;;Train;;;;;;NON;Colloques, congrès et séminaires
